state,stage,sex,date,completion
Malaysia,secondary_upper,both,1/1/2018,95.6307
Malaysia,secondary_upper,both,1/1/2019,97.5
Malaysia,secondary_upper,both,1/1/2020,92.8
Malaysia,secondary_upper,both,1/1/2021,97.8
Malaysia,secondary_upper,both,1/1/2022,99.2
Malaysia,secondary_upper,female,1/1/2016,99.4922
Malaysia,secondary_upper,female,1/1/2017,97.492
Malaysia,secondary_upper,female,1/1/2018,96.5132
Malaysia,secondary_upper,female,1/1/2019,98.9
Malaysia,secondary_upper,female,1/1/2020,93.6
Malaysia,secondary_upper,female,1/1/2021,97.9
Malaysia,secondary_upper,female,1/1/2022,99.3
Malaysia,secondary_upper,male,1/1/2016,98.9922
Malaysia,secondary_upper,male,1/1/2017,95.2126
Malaysia,secondary_upper,male,1/1/2018,94.7178
Malaysia,secondary_upper,male,1/1/2019,96.1
Malaysia,secondary_upper,male,1/1/2020,92
Malaysia,secondary_upper,male,1/1/2021,97.6
Malaysia,secondary_upper,male,1/1/2022,99.1
Johor,primary,both,1/1/2016,99.06
Johor,primary,both,1/1/2017,99.14
Johor,primary,both,1/1/2018,97.56
Johor,primary,both,1/1/2019,97.7
Johor,primary,both,1/1/2020,98.2
Johor,primary,both,1/1/2021,95.5
Johor,primary,both,1/1/2022,99
Johor,primary,female,1/1/2016,99.48
Johor,primary,female,1/1/2017,99.71
Johor,primary,female,1/1/2018,98.2
Johor,primary,female,1/1/2019,98.2
Johor,primary,female,1/1/2020,98.9
Johor,primary,female,1/1/2021,99.7
Johor,primary,female,1/1/2022,99.3
Johor,primary,male,1/1/2016,98.67
Johor,primary,male,1/1/2017,98.59
Johor,primary,male,1/1/2018,96.97
Johor,primary,male,1/1/2019,97.2
Johor,primary,male,1/1/2020,97.6
Johor,primary,male,1/1/2021,91.8
Johor,primary,male,1/1/2022,98.7
Johor,secondary_lower,both,1/1/2016,94.7645
Johor,secondary_lower,both,1/1/2017,99.5251
Johor,secondary_lower,both,1/1/2018,99.6891
Johor,secondary_lower,both,1/1/2019,95.2
Johor,secondary_lower,both,1/1/2020,96.9
Johor,secondary_lower,both,1/1/2021,97.9
Johor,secondary_lower,both,1/1/2022,100.1
Johor,secondary_lower,female,1/1/2016,96.7463
Johor,secondary_lower,female,1/1/2017,100.5709
Johor,secondary_lower,female,1/1/2018,99.4141
Johor,secondary_lower,female,1/1/2019,96.8
Johor,secondary_lower,female,1/1/2020,98.3
Johor,secondary_lower,female,1/1/2021,98.4
Johor,secondary_lower,female,1/1/2022,97.6
Johor,secondary_lower,male,1/1/2016,92.884
Johor,secondary_lower,male,1/1/2017,98.5141
Johor,secondary_lower,male,1/1/2018,99.9562
Johor,secondary_lower,male,1/1/2019,93.5
Johor,secondary_lower,male,1/1/2020,95.6
Johor,secondary_lower,male,1/1/2021,97.4
Johor,secondary_lower,male,1/1/2022,102.5
Johor,secondary_upper,both,1/1/2016,99.5156
Johor,secondary_upper,both,1/1/2017,99.2906
Johor,secondary_upper,both,1/1/2018,93.7421
Johor,secondary_upper,both,1/1/2019,98
Johor,secondary_upper,both,1/1/2020,89.2
Johor,secondary_upper,both,1/1/2021,97
Johor,secondary_upper,both,1/1/2022,98.1
Johor,secondary_upper,female,1/1/2016,99.9629
Johor,secondary_upper,female,1/1/2017,100.545
Johor,secondary_upper,female,1/1/2018,94.899
Johor,secondary_upper,female,1/1/2019,98.6
Johor,secondary_upper,female,1/1/2020,90.1
Johor,secondary_upper,female,1/1/2021,97.2
Johor,secondary_upper,female,1/1/2022,98.5
Johor,secondary_upper,male,1/1/2016,99.0459
Johor,secondary_upper,male,1/1/2017,97.966
Johor,secondary_upper,male,1/1/2018,92.5617
Johor,secondary_upper,male,1/1/2019,97.4
Johor,secondary_upper,male,1/1/2020,88.3
Johor,secondary_upper,male,1/1/2021,96.8
Johor,secondary_upper,male,1/1/2022,97.8
Kedah,primary,both,1/1/2016,99.97
Kedah,primary,both,1/1/2017,100.12
Kedah,primary,both,1/1/2018,100.34
Kedah,primary,both,1/1/2019,100.2
Kedah,primary,both,1/1/2020,100.1
Kedah,primary,both,1/1/2021,97.2
Kedah,primary,both,1/1/2022,101.1
Kedah,primary,female,1/1/2016,100.85
Kedah,primary,female,1/1/2017,100.84
Kedah,primary,female,1/1/2018,101.4
Kedah,primary,female,1/1/2019,100.8
Kedah,primary,female,1/1/2020,100.9
Kedah,primary,female,1/1/2021,99.3
Kedah,primary,female,1/1/2022,102.4
Kedah,primary,male,1/1/2016,99.11
Kedah,primary,male,1/1/2017,99.43
Kedah,primary,male,1/1/2018,99.33
Kedah,primary,male,1/1/2019,99.6
Kedah,primary,male,1/1/2020,99.3
Kedah,primary,male,1/1/2021,95.3
Kedah,primary,male,1/1/2022,99.8
Kedah,secondary_lower,both,1/1/2016,95.9472
Kedah,secondary_lower,both,1/1/2017,97.3087
Kedah,secondary_lower,both,1/1/2018,96.3721
Kedah,secondary_lower,both,1/1/2019,96.1
Kedah,secondary_lower,both,1/1/2020,96.8
Kedah,secondary_lower,both,1/1/2021,100.3
Kedah,secondary_lower,both,1/1/2022,99.4
Kedah,secondary_lower,female,1/1/2016,97.6341
Kedah,secondary_lower,female,1/1/2017,97.6467
Kedah,secondary_lower,female,1/1/2018,97.7081
Kedah,secondary_lower,female,1/1/2019,98.1
Kedah,secondary_lower,female,1/1/2020,98.6
Kedah,secondary_lower,female,1/1/2021,100.9
Kedah,secondary_lower,female,1/1/2022,99.2
Kedah,secondary_lower,male,1/1/2016,94.3062
Kedah,secondary_lower,male,1/1/2017,96.9697
Kedah,secondary_lower,male,1/1/2018,95.0751
Kedah,secondary_lower,male,1/1/2019,94.1
Kedah,secondary_lower,male,1/1/2020,95
Kedah,secondary_lower,male,1/1/2021,99.7
Kedah,secondary_lower,male,1/1/2022,99.6
Kedah,secondary_upper,both,1/1/2016,99.0933
Kedah,secondary_upper,both,1/1/2017,97.451
Kedah,secondary_upper,both,1/1/2018,95.7661
Kedah,secondary_upper,both,1/1/2019,96.6
Kedah,secondary_upper,both,1/1/2020,96.7
Kedah,secondary_upper,both,1/1/2021,100.5
Kedah,secondary_upper,both,1/1/2022,99.2
Kedah,secondary_upper,female,1/1/2016,98.8679
Kedah,secondary_upper,female,1/1/2017,98.573
Kedah,secondary_upper,female,1/1/2018,97.5336
Kedah,secondary_upper,female,1/1/2019,97.9
Kedah,secondary_upper,female,1/1/2020,97.9
Kedah,secondary_upper,female,1/1/2021,100
Kedah,secondary_upper,female,1/1/2022,99.6
Kedah,secondary_upper,male,1/1/2016,99.3418
Kedah,secondary_upper,male,1/1/2017,96.2206
Kedah,secondary_upper,male,1/1/2018,93.9202
Kedah,secondary_upper,male,1/1/2019,95.3
Kedah,secondary_upper,male,1/1/2020,95.5
Kedah,secondary_upper,male,1/1/2021,101.2
Kedah,secondary_upper,male,1/1/2022,98.7
Kelantan,primary,both,1/1/2016,100.32
Kelantan,primary,both,1/1/2017,100.17
Kelantan,primary,both,1/1/2018,99.32
Kelantan,primary,both,1/1/2019,99.9
Kelantan,primary,both,1/1/2020,99.5
Kelantan,primary,both,1/1/2021,100.2
Kelantan,primary,both,1/1/2022,98.2
Kelantan,primary,female,1/1/2016,101.49
Kelantan,primary,female,1/1/2017,101.41
Kelantan,primary,female,1/1/2018,100.59
Kelantan,primary,female,1/1/2019,101.1
Kelantan,primary,female,1/1/2020,101.5
Kelantan,primary,female,1/1/2021,101.8
Kelantan,primary,female,1/1/2022,99.2
Kelantan,primary,male,1/1/2016,99.2
Kelantan,primary,male,1/1/2017,99
Kelantan,primary,male,1/1/2018,98.12
Kelantan,primary,male,1/1/2019,98.7
Kelantan,primary,male,1/1/2020,97.6
Kelantan,primary,male,1/1/2021,98.7
Kelantan,primary,male,1/1/2022,97.3
Kelantan,secondary_lower,both,1/1/2016,96.242
Kelantan,secondary_lower,both,1/1/2017,94.65
Kelantan,secondary_lower,both,1/1/2018,85.9723
Kelantan,secondary_lower,both,1/1/2019,98
Kelantan,secondary_lower,both,1/1/2020,109.9
Kelantan,secondary_lower,both,1/1/2021,111.7
Kelantan,secondary_lower,both,1/1/2022,99
Kelantan,secondary_lower,female,1/1/2016,96.6945
Kelantan,secondary_lower,female,1/1/2017,96.9235
Kelantan,secondary_lower,female,1/1/2018,86.3164
Kelantan,secondary_lower,female,1/1/2019,98.8
Kelantan,secondary_lower,female,1/1/2020,112.9
Kelantan,secondary_lower,female,1/1/2021,112.9
Kelantan,secondary_lower,female,1/1/2022,98.7
Kelantan,secondary_lower,male,1/1/2016,95.7847
Kelantan,secondary_lower,male,1/1/2017,92.3972
Kelantan,secondary_lower,male,1/1/2018,85.6336
Kelantan,secondary_lower,male,1/1/2019,97.1
Kelantan,secondary_lower,male,1/1/2020,107
Kelantan,secondary_lower,male,1/1/2021,110.5
Kelantan,secondary_lower,male,1/1/2022,99.4
Kelantan,secondary_upper,both,1/1/2016,98.4254
Kelantan,secondary_upper,both,1/1/2017,96.8805
Kelantan,secondary_upper,both,1/1/2018,88.4185
Kelantan,secondary_upper,both,1/1/2019,109.2
Kelantan,secondary_upper,both,1/1/2020,97.7
Kelantan,secondary_upper,both,1/1/2021,100.3
Kelantan,secondary_upper,both,1/1/2022,99.4
Kelantan,secondary_upper,female,1/1/2016,97.9233
Kelantan,secondary_upper,female,1/1/2017,98.8592
Kelantan,secondary_upper,female,1/1/2018,87.4555
Kelantan,secondary_upper,female,1/1/2019,111.7
Kelantan,secondary_upper,female,1/1/2020,98.6
Kelantan,secondary_upper,female,1/1/2021,99.6
Kelantan,secondary_upper,female,1/1/2022,98.8
Kelantan,secondary_upper,male,1/1/2016,98.9638
Kelantan,secondary_upper,male,1/1/2017,94.7214
Kelantan,secondary_upper,male,1/1/2018,89.4737
Kelantan,secondary_upper,male,1/1/2019,106.7
Kelantan,secondary_upper,male,1/1/2020,96.8
Kelantan,secondary_upper,male,1/1/2021,101.1
Kelantan,secondary_upper,male,1/1/2022,100
Melaka,primary,both,1/1/2016,98.92
Melaka,primary,both,1/1/2017,98.87
Melaka,primary,both,1/1/2018,98.92
Melaka,primary,both,1/1/2019,98.7
Melaka,primary,both,1/1/2020,98.5
Melaka,primary,both,1/1/2021,95.1
Melaka,primary,both,1/1/2022,99.5
Melaka,primary,female,1/1/2016,100.17
Melaka,primary,female,1/1/2017,99.92
Melaka,primary,female,1/1/2018,99.17
Melaka,primary,female,1/1/2019,100.3
Melaka,primary,female,1/1/2020,99.2
Melaka,primary,female,1/1/2021,96.8
Melaka,primary,female,1/1/2022,100.3
Melaka,primary,male,1/1/2016,97.73
Melaka,primary,male,1/1/2017,97.87
Melaka,primary,male,1/1/2018,98.67
Melaka,primary,male,1/1/2019,97.2
Melaka,primary,male,1/1/2020,97.7
Melaka,primary,male,1/1/2021,93.5
Melaka,primary,male,1/1/2022,98.7
Melaka,secondary_lower,both,1/1/2016,99.0276
Melaka,secondary_lower,both,1/1/2017,98.5646
Melaka,secondary_lower,both,1/1/2018,99.9172
Melaka,secondary_lower,both,1/1/2019,98.7
Melaka,secondary_lower,both,1/1/2020,97.8
Melaka,secondary_lower,both,1/1/2021,98.1
Melaka,secondary_lower,both,1/1/2022,98.9
Melaka,secondary_lower,female,1/1/2016,99.9568
Melaka,secondary_lower,female,1/1/2017,99.2662
Melaka,secondary_lower,female,1/1/2018,100.0305
Melaka,secondary_lower,female,1/1/2019,98.5
Melaka,secondary_lower,female,1/1/2020,98.6
Melaka,secondary_lower,female,1/1/2021,99.2
Melaka,secondary_lower,female,1/1/2022,99.3
Melaka,secondary_lower,male,1/1/2016,98.1113
Melaka,secondary_lower,male,1/1/2017,97.8447
Melaka,secondary_lower,male,1/1/2018,99.8065
Melaka,secondary_lower,male,1/1/2019,98.9
Melaka,secondary_lower,male,1/1/2020,96.9
Melaka,secondary_lower,male,1/1/2021,97.1
Melaka,secondary_lower,male,1/1/2022,98.6
Melaka,secondary_upper,both,1/1/2016,99.2746
Melaka,secondary_upper,both,1/1/2017,97.8254
Melaka,secondary_upper,both,1/1/2018,98.245
Melaka,secondary_upper,both,1/1/2019,97
Melaka,secondary_upper,both,1/1/2020,94.1
Melaka,secondary_upper,both,1/1/2021,98.2
Melaka,secondary_upper,both,1/1/2022,97.7
Melaka,secondary_upper,female,1/1/2016,99.762
Melaka,secondary_upper,female,1/1/2017,98.7135
Melaka,secondary_upper,female,1/1/2018,98.5104
Melaka,secondary_upper,female,1/1/2019,98.4
Melaka,secondary_upper,female,1/1/2020,95.1
Melaka,secondary_upper,female,1/1/2021,98
Melaka,secondary_upper,female,1/1/2022,98.3
Melaka,secondary_upper,male,1/1/2016,98.7998
Melaka,secondary_upper,male,1/1/2017,96.8979
Melaka,secondary_upper,male,1/1/2018,97.9713
Melaka,secondary_upper,male,1/1/2019,95.5
Melaka,secondary_upper,male,1/1/2020,93
Melaka,secondary_upper,male,1/1/2021,98.5
Melaka,secondary_upper,male,1/1/2022,97.1
Negeri Sembilan,primary,both,1/1/2016,98.29
Negeri Sembilan,primary,both,1/1/2017,98.95
Negeri Sembilan,primary,both,1/1/2018,99.24
Negeri Sembilan,primary,both,1/1/2019,98.9
Negeri Sembilan,primary,both,1/1/2020,100.1
Negeri Sembilan,primary,both,1/1/2021,102.9
Negeri Sembilan,primary,both,1/1/2022,101.6
Negeri Sembilan,primary,female,1/1/2016,99.96
Negeri Sembilan,primary,female,1/1/2017,99.49
Negeri Sembilan,primary,female,1/1/2018,100.67
Negeri Sembilan,primary,female,1/1/2019,99.2
Negeri Sembilan,primary,female,1/1/2020,100.5
Negeri Sembilan,primary,female,1/1/2021,102.9
Negeri Sembilan,primary,female,1/1/2022,102.7
Negeri Sembilan,primary,male,1/1/2016,96.74
Negeri Sembilan,primary,male,1/1/2017,98.44
Negeri Sembilan,primary,male,1/1/2018,97.9
Negeri Sembilan,primary,male,1/1/2019,98.7
Negeri Sembilan,primary,male,1/1/2020,99.7
Negeri Sembilan,primary,male,1/1/2021,102.8
Negeri Sembilan,primary,male,1/1/2022,100.6
Negeri Sembilan,secondary_lower,both,1/1/2016,97.3067
Negeri Sembilan,secondary_lower,both,1/1/2017,99.5664
Negeri Sembilan,secondary_lower,both,1/1/2018,97.1165
Negeri Sembilan,secondary_lower,both,1/1/2019,96.9
Negeri Sembilan,secondary_lower,both,1/1/2020,98.2
Negeri Sembilan,secondary_lower,both,1/1/2021,98.9
Negeri Sembilan,secondary_lower,both,1/1/2022,99.9
Negeri Sembilan,secondary_lower,female,1/1/2016,98.235
Negeri Sembilan,secondary_lower,female,1/1/2017,100.411
Negeri Sembilan,secondary_lower,female,1/1/2018,98.2037
Negeri Sembilan,secondary_lower,female,1/1/2019,97.2
Negeri Sembilan,secondary_lower,female,1/1/2020,99.8
Negeri Sembilan,secondary_lower,female,1/1/2021,99.6
Negeri Sembilan,secondary_lower,female,1/1/2022,99.8
Negeri Sembilan,secondary_lower,male,1/1/2016,96.4068
Negeri Sembilan,secondary_lower,male,1/1/2017,98.7444
Negeri Sembilan,secondary_lower,male,1/1/2018,96.0503
Negeri Sembilan,secondary_lower,male,1/1/2019,96.6
Negeri Sembilan,secondary_lower,male,1/1/2020,96.7
Negeri Sembilan,secondary_lower,male,1/1/2021,98.3
Negeri Sembilan,secondary_lower,male,1/1/2022,99.9
Negeri Sembilan,secondary_upper,both,1/1/2016,100.1393
Negeri Sembilan,secondary_upper,both,1/1/2017,96.707
Negeri Sembilan,secondary_upper,both,1/1/2018,96.7493
Negeri Sembilan,secondary_upper,both,1/1/2019,96.9
Negeri Sembilan,secondary_upper,both,1/1/2020,93.3
Negeri Sembilan,secondary_upper,both,1/1/2021,98.6
Negeri Sembilan,secondary_upper,both,1/1/2022,100.4
Negeri Sembilan,secondary_upper,female,1/1/2016,100.3412
Negeri Sembilan,secondary_upper,female,1/1/2017,97.8202
Negeri Sembilan,secondary_upper,female,1/1/2018,97.5787
Negeri Sembilan,secondary_upper,female,1/1/2019,98.3
Negeri Sembilan,secondary_upper,female,1/1/2020,93.7
Negeri Sembilan,secondary_upper,female,1/1/2021,98.6
Negeri Sembilan,secondary_upper,female,1/1/2022,99.8
Negeri Sembilan,secondary_upper,male,1/1/2016,99.9323
Negeri Sembilan,secondary_upper,male,1/1/2017,95.5919
Negeri Sembilan,secondary_upper,male,1/1/2018,95.9152
Negeri Sembilan,secondary_upper,male,1/1/2019,95.5
Negeri Sembilan,secondary_upper,male,1/1/2020,93
Negeri Sembilan,secondary_upper,male,1/1/2021,98.6
Negeri Sembilan,secondary_upper,male,1/1/2022,100.9
Pahang,primary,both,1/1/2016,97.72
Pahang,primary,both,1/1/2017,97.57
Pahang,primary,both,1/1/2018,97.13
Pahang,primary,both,1/1/2019,96.3
Pahang,primary,both,1/1/2020,97
Pahang,primary,both,1/1/2021,97.3
Pahang,primary,both,1/1/2022,96.5
Pahang,primary,female,1/1/2016,98.72
Pahang,primary,female,1/1/2017,98.85
Pahang,primary,female,1/1/2018,97.65
Pahang,primary,female,1/1/2019,97.5
Pahang,primary,female,1/1/2020,97.9
Pahang,primary,female,1/1/2021,97.9
Pahang,primary,female,1/1/2022,98.1
Pahang,primary,male,1/1/2016,96.81
Pahang,primary,male,1/1/2017,96.34
Pahang,primary,male,1/1/2018,96.63
Pahang,primary,male,1/1/2019,95.2
Pahang,primary,male,1/1/2020,96.2
Pahang,primary,male,1/1/2021,96.8
Pahang,primary,male,1/1/2022,95.1
Pahang,secondary_lower,both,1/1/2016,96.3753
Pahang,secondary_lower,both,1/1/2017,97.636
Pahang,secondary_lower,both,1/1/2018,94.9303
Pahang,secondary_lower,both,1/1/2019,96.4
Pahang,secondary_lower,both,1/1/2020,96
Pahang,secondary_lower,both,1/1/2021,99.1
Pahang,secondary_lower,both,1/1/2022,98.7
Pahang,secondary_lower,female,1/1/2016,96.6483
Pahang,secondary_lower,female,1/1/2017,98.1296
Pahang,secondary_lower,female,1/1/2018,97.0508
Pahang,secondary_lower,female,1/1/2019,97.5
Pahang,secondary_lower,female,1/1/2020,97.3
Pahang,secondary_lower,female,1/1/2021,100
Pahang,secondary_lower,female,1/1/2022,98.8
Pahang,secondary_lower,male,1/1/2016,96.1076
Pahang,secondary_lower,male,1/1/2017,97.1421
Pahang,secondary_lower,male,1/1/2018,92.8984
Pahang,secondary_lower,male,1/1/2019,95.3
Pahang,secondary_lower,male,1/1/2020,94.8
Pahang,secondary_lower,male,1/1/2021,98.2
Pahang,secondary_lower,male,1/1/2022,98.6
Pahang,secondary_upper,both,1/1/2016,99.6813
Pahang,secondary_upper,both,1/1/2017,90.8114
Pahang,secondary_upper,both,1/1/2018,99.1357
Pahang,secondary_upper,both,1/1/2019,92.9
Pahang,secondary_upper,both,1/1/2020,97.5
Pahang,secondary_upper,both,1/1/2021,99.6
Pahang,secondary_upper,both,1/1/2022,100
Pahang,secondary_upper,female,1/1/2016,99.5629
Pahang,secondary_upper,female,1/1/2017,91.9756
Pahang,secondary_upper,female,1/1/2018,96.9521
Pahang,secondary_upper,female,1/1/2019,96.5
Pahang,secondary_upper,female,1/1/2020,96.9
Pahang,secondary_upper,female,1/1/2021,99.1
Pahang,secondary_upper,female,1/1/2022,99.5
Pahang,secondary_upper,male,1/1/2016,99.8058
Pahang,secondary_upper,male,1/1/2017,89.6342
Pahang,secondary_upper,male,1/1/2018,101.3786
Pahang,secondary_upper,male,1/1/2019,89.3
Pahang,secondary_upper,male,1/1/2020,98.2
Pahang,secondary_upper,male,1/1/2021,100.2
Pahang,secondary_upper,male,1/1/2022,100.6
PPerak,primary,both,1/1/2016,98.83
Perak,primary,both,1/1/2017,98.9
Perak,primary,both,1/1/2018,98.09
Perak,primary,both,1/1/2019,98.6
Perak,primary,both,1/1/2020,99.1
Perak,primary,both,1/1/2021,98.8
Perak,primary,both,1/1/2022,99.9
Perak,primary,female,1/1/2016,99.28
Perak,primary,female,1/1/2017,99.37
Perak,primary,female,1/1/2018,98.51
Perak,primary,female,1/1/2019,99.3
Perak,primary,female,1/1/2020,99.8
Perak,primary,female,1/1/2021,99.7
Perak,primary,female,1/1/2022,100.9
Perak,primary,male,1/1/2016,98.39
Perak,primary,male,1/1/2017,98.44
Perak,primary,male,1/1/2018,97.69
Perak,primary,male,1/1/2019,98
Perak,primary,male,1/1/2020,98.4
Perak,primary,male,1/1/2021,98
Perak,primary,male,1/1/2022,99.1
Perak,secondary_lower,both,1/1/2016,94.9094
Perak,secondary_lower,both,1/1/2017,96.7561
Perak,secondary_lower,both,1/1/2018,95.9696
Perak,secondary_lower,both,1/1/2019,96.9
Perak,secondary_lower,both,1/1/2020,97.1
Perak,secondary_lower,both,1/1/2021,99.4
Perak,secondary_lower,both,1/1/2022,99.2
Perak,secondary_lower,female,1/1/2016,97.142
Perak,secondary_lower,female,1/1/2017,98.1378
Perak,secondary_lower,female,1/1/2018,97.178
Perak,secondary_lower,female,1/1/2019,97.7
Perak,secondary_lower,female,1/1/2020,98.8
Perak,secondary_lower,female,1/1/2021,100.2
Perak,secondary_lower,female,1/1/2022,99.4
Perak,secondary_lower,male,1/1/2016,92.8087
Perak,secondary_lower,male,1/1/2017,95.3946
Perak,secondary_lower,male,1/1/2018,94.8274
Perak,secondary_lower,male,1/1/2019,96.2
Perak,secondary_lower,male,1/1/2020,95.5
Perak,secondary_lower,male,1/1/2021,98.6
Perak,secondary_lower,male,1/1/2022,99
Perak,secondary_upper,both,1/1/2016,99.1
Perak,secondary_upper,both,1/1/2017,94.4357
Perak,secondary_upper,both,1/1/2018,97.4355
Perak,secondary_upper,both,1/1/2019,97.9
Perak,secondary_upper,both,1/1/2020,92.4
Perak,secondary_upper,both,1/1/2021,98.8
Perak,secondary_upper,both,1/1/2022,100.3
Perak,secondary_upper,female,1/1/2016,99.1742
Perak,secondary_upper,female,1/1/2017,95.7164
Perak,secondary_upper,female,1/1/2018,98.4112
Perak,secondary_upper,female,1/1/2019,99.5
Perak,secondary_upper,female,1/1/2020,93.2
Perak,secondary_upper,female,1/1/2021,99.2
Perak,secondary_upper,female,1/1/2022,99.9
Perak,secondary_upper,male,1/1/2016,99.0226
Perak,secondary_upper,male,1/1/2017,93.1089
Perak,secondary_upper,male,1/1/2018,96.4462
Perak,secondary_upper,male,1/1/2019,96.2
Perak,secondary_upper,male,1/1/2020,91.5
Perak,secondary_upper,male,1/1/2021,98.4
Perak,secondary_upper,male,1/1/2022,100.7
Perlis,primary,both,1/1/2016,101.66
Perlis,primary,both,1/1/2017,99.22
Perlis,primary,both,1/1/2018,99.61
Perlis,primary,both,1/1/2019,99
Perlis,primary,both,1/1/2020,98.8
Perlis,primary,both,1/1/2021,96.9
Perlis,primary,both,1/1/2022,105.5
Perlis,primary,female,1/1/2016,100.66
Perlis,primary,female,1/1/2017,100.44
Perlis,primary,female,1/1/2018,100.11
Perlis,primary,female,1/1/2019,101.2
Perlis,primary,female,1/1/2020,100
Perlis,primary,female,1/1/2021,99.8
Perlis,primary,female,1/1/2022,107.2
Perlis,primary,male,1/1/2016,102.63
Perlis,primary,male,1/1/2017,98.05
Perlis,primary,male,1/1/2018,99.13
Perlis,primary,male,1/1/2019,97
Perlis,primary,male,1/1/2020,97.7
Perlis,primary,male,1/1/2021,94.4
Perlis,primary,male,1/1/2022,103.9
Perlis,secondary_lower,both,1/1/2016,93.6557
Perlis,secondary_lower,both,1/1/2017,96.4581
Perlis,secondary_lower,both,1/1/2018,96.5534
Perlis,secondary_lower,both,1/1/2019,93.1
Perlis,secondary_lower,both,1/1/2020,94.4
Perlis,secondary_lower,both,1/1/2021,97.8
Perlis,secondary_lower,both,1/1/2022,99.7
Perlis,secondary_lower,female,1/1/2016,95.152
Perlis,secondary_lower,female,1/1/2017,96.6188
Perlis,secondary_lower,female,1/1/2018,98.2229
Perlis,secondary_lower,female,1/1/2019,95.9
Perlis,secondary_lower,female,1/1/2020,95.8
Perlis,secondary_lower,female,1/1/2021,98.6
Perlis,secondary_lower,female,1/1/2022,100.3
Perlis,secondary_lower,male,1/1/2016,92.1393
Perlis,secondary_lower,male,1/1/2017,96.2909
Perlis,secondary_lower,male,1/1/2018,94.895
Perlis,secondary_lower,male,1/1/2019,90.3
Perlis,secondary_lower,male,1/1/2020,93.1
Perlis,secondary_lower,male,1/1/2021,97.1
Perlis,secondary_lower,male,1/1/2022,99.1
Perlis,secondary_upper,both,1/1/2016,91.1528
Perlis,secondary_upper,both,1/1/2017,94.5276
Perlis,secondary_upper,both,1/1/2018,94.6984
Perlis,secondary_upper,both,1/1/2019,94.6
Perlis,secondary_upper,both,1/1/2020,93.3
Perlis,secondary_upper,both,1/1/2021,97.4
Perlis,secondary_upper,both,1/1/2022,97.9
Perlis,secondary_upper,female,1/1/2016,93.1364
Perlis,secondary_upper,female,1/1/2017,95.4263
Perlis,secondary_upper,female,1/1/2018,96.6413
Perlis,secondary_upper,female,1/1/2019,96.9
Perlis,secondary_upper,female,1/1/2020,95
Perlis,secondary_upper,female,1/1/2021,98.3
Perlis,secondary_upper,female,1/1/2022,98.2
Perlis,secondary_upper,male,1/1/2016,89.2025
Perlis,secondary_upper,male,1/1/2017,93.618
Perlis,secondary_upper,male,1/1/2018,92.6738
Perlis,secondary_upper,male,1/1/2019,92.2
Perlis,secondary_upper,male,1/1/2020,91.5
Perlis,secondary_upper,male,1/1/2021,96.5
Perlis,secondary_upper,male,1/1/2022,97.6
Pulau Pinang,primary,both,1/1/2016,96.55
Pulau Pinang,primary,both,1/1/2017,96.71
Pulau Pinang,primary,both,1/1/2018,96.52
Pulau Pinang,primary,both,1/1/2019,96
Pulau Pinang,primary,both,1/1/2020,96.9
Pulau Pinang,primary,both,1/1/2021,94
